product_id,title,description,category,price,brand,tags,rating_avg,rating_count,created_at
P000059,Pro Backpack Model 916,Pro Backpack Model 916 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,33.61,Orion,"fitness,gps,running",4.27,11,2023-09-05T00:00:00Z
P000060,Waterproof Headphones,Waterproof Headphones designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,47.62,Nimbus,"running,trail",3.94,14,2023-09-07T00:00:00Z
P000061,Basic Shorts Model 477,Basic Shorts Model 477 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,168.56,EverRun,"compact,gps",4.0,22,2023-10-05T00:00:00Z
P000062,Ultra Smart Watch,Ultra Smart Watch designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,130.49,Veloce,"lightweight,waterproof,insulated",4.61,12,2024-08-26T00:00:00Z
P000063,Premium Yoga Mat,Premium Yoga Mat designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,31.85,EverRun,fitness,3.52,16,2023-10-08T00:00:00Z
P000064,Lightweight Jacket,Lightweight Jacket designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,91.03,Nimbus,running,4.36,15,2024-03-27T00:00:00Z
P000065,Comfort Running Shoe Model 358,Comfort Running Shoe Model 358 designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,24.56,Novex,"training,trail",4.37,21,2023-06-05T00:00:00Z
P000066,Premium Yoga Mat,Premium Yoga Mat designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,24.74,TrailBlaze,"heart-rate,compact,waterproof",4.66,13,2024-03-29T00:00:00Z
P000067,Premium Sunglasses,Premium Sunglasses designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,177.54,Novex,insulated,3.82,20,2023-06-10T00:00:00Z
P000068,Comfort Jacket,Comfort Jacket designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,20.11,Nimbus,"heart-rate,training,fitness",3.55,12,2023-10-17T00:00:00Z
P000069,Smart Trail Shoe,Smart Trail Shoe designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,56.96,Orion,"waterproof,casual,trail",4.32,20,2023-09-30T00:00:00Z
P000070,Durable Running Shoe Model 269,Durable Running Shoe Model 269 designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,43.8,Orion,"training,trail",4.2,12,2024-02-17T00:00:00Z
P000071,Eco Jacket Model 605,Eco Jacket Model 605 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,92.87,Apex,"compact,outdoor",4.41,10,2023-08-23T00:00:00Z
P000072,Premium Shorts Model 121,Premium Shorts Model 121 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,43.05,Stride,"gps,insulated",4.16,12,2024-08-22T00:00:00Z
P000073,Basic Headphones Model 193,Basic Headphones Model 193 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,33.92,EverRun,"insulated,trail",4.79,13,2024-05-22T00:00:00Z
P000074,Basic Sunglasses,Basic Sunglasses designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,152.77,EverRun,"outdoor,trail",4.96,14,2024-06-10T00:00:00Z
P000075,Basic Jacket Model 573,Basic Jacket Model 573 designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,44.34,Veloce,"heart-rate,training",4.44,25,2023-07-28T00:00:00Z
P000076,Eco Water Bottle Model 394,Eco Water Bottle Model 394 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,220.94,Nimbus,running,4.96,18,2023-09-03T00:00:00Z
P000077,Comfort Yoga Mat,Comfort Yoga Mat designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,42.09,Novex,trail,4.19,10,2023-06-07T00:00:00Z
P000078,Ultra Jacket Model 822,Ultra Jacket Model 822 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,36.62,Nimbus,"waterproof,training",4.33,13,2024-09-05T00:00:00Z
P000079,Comfort Trail Shoe Model 382,Comfort Trail Shoe Model 382 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,33.6,Veloce,"running,fitness",4.59,33,2024-08-16T00:00:00Z
P000080,Smart Water Bottle Model 557,Smart Water Bottle Model 557 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,33.8,Veloce,"casual,training,outdoor",4.8,139,2023-09-02T00:00:00Z
P000081,Waterproof Smart Watch Model 976,Waterproof Smart Watch Model 976 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,32.62,Nimbus,"casual,compact,lightweight",4.24,10,2024-05-29T00:00:00Z
P000082,Compact Trail Shoe Model 995,Compact Trail Shoe Model 995 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,35.98,Nimbus,compact,3.72,39,2023-06-08T00:00:00Z
P000083,Smart Yoga Mat Model 446,Smart Yoga Mat Model 446 designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,91.99,EverRun,"gps,casual,outdoor",4.44,42,2024-05-14T00:00:00Z
P000084,Lightweight Shorts,Lightweight Shorts designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,45.25,CoreFit,compact,3.64,128,2024-10-10T00:00:00Z
P000085,Durable Headphones Model 270,Durable Headphones Model 270 designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,56.14,Apex,"running,fitness",4.04,14,2023-09-08T00:00:00Z
P000086,Waterproof Shorts,Waterproof Shorts designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,26.8,Novex,"casual,heart-rate,waterproof",4.25,17,2023-08-26T00:00:00Z
P000087,Basic Yoga Mat Model 570,Basic Yoga Mat Model 570 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,46.67,Nimbus,"insulated,gps",3.74,14,2023-12-20T00:00:00Z
P000088,Ultra Socks Model 534,Ultra Socks Model 534 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,57.41,CoreFit,casual,4.78,10,2024-01-26T00:00:00Z
P000089,Compact Shorts Model 402,Compact Shorts Model 402 designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,31.32,TrailBlaze,"running,heart-rate",4.8,27,2023-02-20T00:00:00Z
P000090,Smart Yoga Mat,Smart Yoga Mat designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,66.42,EverRun,insulated,3.79,12,2024-11-06T00:00:00Z
P000091,Comfort Socks,Comfort Socks designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,32.36,Nimbus,heart-rate,4.05,10,2023-10-30T00:00:00Z
P000092,Waterproof Water Bottle,Waterproof Water Bottle designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,51.46,EverRun,"gps,fitness,lightweight",3.89,31,2024-05-08T00:00:00Z
P000093,Compact Trail Shoe,Compact Trail Shoe designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,102.52,PeakMotion,"compact,insulated,casual",4.95,29,2024-01-10T00:00:00Z
P000094,Waterproof Running Shoe,Waterproof Running Shoe designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,76.38,CoreFit,"casual,insulated,outdoor",3.66,11,2023-01-26T00:00:00Z
P000095,Eco Backpack,Eco Backpack designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,68.86,Nimbus,"fitness,insulated,casual",3.68,10,2023-02-08T00:00:00Z
P000096,Smart Trail Shoe,Smart Trail Shoe designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,221.96,Stride,"training,outdoor",4.51,24,2024-07-07T00:00:00Z
P000097,Premium Compression Sleeve,Premium Compression Sleeve designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,55.42,Novex,"heart-rate,casual",4.91,12,2024-01-15T00:00:00Z
P000098,Smart Headphones Model 341,Smart Headphones Model 341 designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,23.97,EverRun,"insulated,outdoor,running",4.1,11,2023-05-06T00:00:00Z
P000099,Durable Socks,Durable Socks designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,22.02,EverRun,lightweight,4.68,11,2024-07-21T00:00:00Z
P000100,Premium Smart Watch,Premium Smart Watch designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,33.14,Stride,"running,fitness,lightweight",4.98,16,2023-06-28T00:00:00Z
P000101,Basic Running Shoe,Basic Running Shoe designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,68.66,PeakMotion,"outdoor,running,lightweight",3.9,10,2024-03-07T00:00:00Z
P000102,Durable Compression Sleeve Model 165,Durable Compression Sleeve Model 165 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,37.93,EverRun,"heart-rate,trail,training",4.26,69,2023-02-14T00:00:00Z
P000103,Basic Jacket Model 408,Basic Jacket Model 408 designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,45.73,Apex,training,4.77,14,2023-04-21T00:00:00Z
P000104,Smart Trail Shoe Model 182,Smart Trail Shoe Model 182 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,44.33,Novex,fitness,4.44,17,2023-11-29T00:00:00Z
P000105,Premium Jacket Model 401,Premium Jacket Model 401 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,40.22,TrailBlaze,compact,3.67,20,2024-07-18T00:00:00Z
P000106,Pro Sunglasses,Pro Sunglasses designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,36.55,Nimbus,"casual,trail",3.97,12,2023-09-19T00:00:00Z
P000107,Comfort Socks,Comfort Socks designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,23.65,Novex,casual,3.64,24,2023-05-14T00:00:00Z
P000108,Lightweight Shorts Model 675,Lightweight Shorts Model 675 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,46.8,TrailBlaze,"insulated,casual",4.8,23,2023-10-22T00:00:00Z
P000109,Ultra Backpack,Ultra Backpack designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,39.28,Nimbus,trail,4.03,17,2023-04-28T00:00:00Z
P000110,Premium Smart Watch Model 926,Premium Smart Watch Model 926 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,215.22,Orion,"insulated,compact,gps",3.54,58,2023-10-01T00:00:00Z
P000111,Comfort Yoga Mat Model 819,Comfort Yoga Mat Model 819 designed for running performance. Ideal for active users and everyday comfort.,sports>footwear>running,113.72,EverRun,lightweight,4.8,17,2024-02-15T00:00:00Z
P000112,Comfort Compression Sleeve,Comfort Compression Sleeve designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,47.34,Veloce,casual,4.13,13,2024-01-14T00:00:00Z
P000113,Compact Shorts,Compact Shorts designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,221.33,Stride,heart-rate,3.57,10,2024-03-29T00:00:00Z
P000114,Waterproof Headphones Model 721,Waterproof Headphones Model 721 designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,36.57,PeakMotion,"trail,outdoor,casual",3.67,21,2024-08-30T00:00:00Z
P000115,Eco Socks,Eco Socks designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,28.82,Orion,running,3.81,69,2023-05-21T00:00:00Z
P000116,Ultra Backpack,Ultra Backpack designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,159.58,TrailBlaze,lightweight,4.07,22,2024-05-27T00:00:00Z
P000117,Basic Backpack Model 173,Basic Backpack Model 173 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,54.47,Apex,"running,training",4.88,37,2024-08-12T00:00:00Z
P000118,Premium Sunglasses Model 826,Premium Sunglasses Model 826 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,31.58,TrailBlaze,outdoor,3.76,71,2024-04-16T00:00:00Z
P000119,Compact Trail Shoe,Compact Trail Shoe designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,29.73,Orion,"gps,trail",4.09,12,2023-12-14T00:00:00Z
P000120,Compact Water Bottle,Compact Water Bottle designed for hydration performance. Ideal for active users and everyday comfort.,home>kitchen>hydration,41.22,PeakMotion,"outdoor,insulated",4.72,11,2023-05-30T00:00:00Z
P000121,Pro Water Bottle,Pro Water Bottle designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,201.63,Novex,insulated,4.24,25,2024-08-16T00:00:00Z
P000122,Basic Shorts Model 758,Basic Shorts Model 758 designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,54.57,EverRun,training,3.6,14,2023-11-07T00:00:00Z
P000123,Premium Running Shoe,Premium Running Shoe designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,129.67,Nimbus,running,4.05,12,2024-10-22T00:00:00Z
P000124,Premium Shorts Model 619,Premium Shorts Model 619 designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,77.02,Veloce,"running,training,heart-rate",4.48,12,2024-05-02T00:00:00Z
P000125,Comfort Running Shoe,Comfort Running Shoe designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,52.44,EverRun,"trail,gps,lightweight",3.56,22,2024-03-25T00:00:00Z
P000126,Eco Shorts Model 262,Eco Shorts Model 262 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,34.91,CoreFit,"casual,outdoor",4.52,10,2024-10-08T00:00:00Z
P000127,Compact Trail Shoe,Compact Trail Shoe designed for bags performance. Ideal for active users and everyday comfort.,travel>bags,42.32,TrailBlaze,"fitness,insulated",4.95,18,2023-06-03T00:00:00Z
P000128,Durable Shorts,Durable Shorts designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,56.67,CoreFit,"compact,insulated,casual",3.69,22,2023-03-28T00:00:00Z
P000129,Eco Sunglasses Model 758,Eco Sunglasses Model 758 designed for wearables performance. Ideal for active users and everyday comfort.,electronics>wearables,210.11,Veloce,insulated,4.51,16,2023-01-19T00:00:00Z
P000130,Ultra Water Bottle Model 319,Ultra Water Bottle Model 319 designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,57.91,Nimbus,waterproof,5.0,11,2023-10-30T00:00:00Z
P000131,Eco Jacket,Eco Jacket designed for trail performance. Ideal for active users and everyday comfort.,sports>footwear>trail,92.95,Orion,heart-rate,4.07,11,2024-10-01T00:00:00Z
P000132,Smart Running Shoe Model 520,Smart Running Shoe Model 520 designed for socks performance. Ideal for active users and everyday comfort.,sports>accessories>socks,47.05,PeakMotion,"heart-rate,fitness",4.63,27,2023-08-28T00:00:00Z
P000133,Pro Yoga Mat Model 928,Pro Yoga Mat Model 928 designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,56.16,PeakMotion,"insulated,heart-rate",4.98,15,2023-10-16T00:00:00Z
P000134,Eco Jacket,Eco Jacket designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,52.68,Orion,fitness,3.58,15,2024-01-16T00:00:00Z
P000135,Durable Compression Sleeve,Durable Compression Sleeve designed for jackets performance. Ideal for active users and everyday comfort.,sports>apparel>jackets,31.4,Stride,"training,gps",3.72,14,2023-08-16T00:00:00Z
P000136,Compact Running Shoe,Compact Running Shoe designed for recovery performance. Ideal for active users and everyday comfort.,sports>accessories>recovery,35.86,EverRun,casual,4.99,13,2023-01-29T00:00:00Z
P000137,Durable Compression Sleeve Model 765,Durable Compression Sleeve Model 765 designed for shorts performance. Ideal for active users and everyday comfort.,sports>apparel>shorts,51.66,Stride,fitness,4.88,15,2023-05-23T00:00:00Z
P000138,Smart Headphones,Smart Headphones designed for gear performance. Ideal for active users and everyday comfort.,outdoor>gear,56.23,Apex,"waterproof,lightweight",4.32,23,2024-06-24T00:00:00Z
P000139,Durable Yoga Mat Model 343,Durable Yoga Mat Model 343 designed for yoga performance. Ideal for active users and everyday comfort.,sports>fitness>yoga,24.87,PeakMotion,"insulated,heart-rate",4.19,10,2024-05-26T00:00:00Z
P000140,Eco Running Shoe,Eco Running Shoe designed for audio performance. Ideal for active users and everyday comfort.,electronics>audio,73.11,CoreFit,"running,heart-rate",4.03,17,2023-07-11T00:00:00Z
